,song,album,album_id,artists,track_number,disc_number
4467,Till Death Do Us Part - Explicit Album Version,Till Death Do Us Part,5GQEEhjOJo514qnnB5Pv5g,['Cypress Hill'],15,1
4482,The Funky Cypress Hill Shit,Cypress Hill,4tQSV1ZGpwlo3dBiTRuKvM,['Cypress Hill'],14,1
4567,A Joyful Noise,A Joyful Noise,0F294DdoxToCt9x5fiT0qq,['Jo Dee Messina'],11,1
4579,Everywhere,Everywhere,36STfe5P9Cln52ch4nw3i9,['Tim McGraw'],8,1
4607,Set This Circus Down,Set This Circus Down,1gia1KbXO82zqBEvaYQ6qq,['Tim McGraw'],10,1
4612,All I Want Is A Life,All I Want,6l9E1hjtJqivhVIageAWM8,['Tim McGraw'],1,1
4645,Soy Tu Lluvia,Soy,2ENOspefdriHS9l18KEhEx,['Alejandra Guzman'],8,1
4661,Elk-Lake Serenade,Elk-Lake Serenade,3yMUPpcZT7BckFwul9zoNH,['Hayden'],14,1
4674,Crossing Muddy Waters,Crossing Muddy Waters,5mVt0dtALmRAap5gSVzeua,['John Hiatt'],2,1
4793,"[Bonus Track] Freestyle Bipolaire (feat. 2 Lyricists, Racho, Opus Crew, Yamcha & Kaliz)",Bipolaire,2JN1HmvLA5hd11GXHg6Rh6,"['Le Yu', ""L'Indécis"", '2 Lyricists', 'Racho', 'Opus Crew', 'Yamcha', 'Kali Z']",13,1
4898,Like Someone in Love,Like Someone in Love,6fDXB8sCfSDIqAT6twXwwC,['Buddy DeFranco Quintet'],1,1
4909,Tell Me (Doko Mien),Doko Mien,4JQVRNQYIaJMNpWJuy84Dv,['Ibibio Sound Machine'],3,1
4928,December,December,5pPBNOY6KFboaONY59McpL,['Kenny Loggins'],11,1
4956,Slowly but Surely,Slowly but Surely,37O1JyltdMP77h9dZn1pNn,['Holly Golightly'],8,1
4982,Diawar,Diawar,2L93al4AwN624VcxcePGW8,['Ismaël Lô'],4,1
5075,Working Overtime,Working Overtime,7MZ2H6waXGUIzu4LTvviGJ,['Dave Hole'],5,1
5127,My Love Is Your Love,My Love Is Your Love,00NABajpGsPCObfcl4LJsM,['Whitney Houston'],3,1
5178,Let It Loose,Let It Loose,1QFhYMcCFGK1pVVwStxf4x,"['Gloria Estefan', 'Miami Sound Machine']",2,1
5258,Can You Dig It?,Can You Dig It?,0TdMhD94qQ4G8GEQEl2Vcb,['Mr. Billy'],3,1
5328,Christmas,The Alligator Records Christmas Collection,2SOkbpUI8lCMFfysGGvnCk,"['Clarence ""Gatemouth"" Brown']",13,1
5371,Redefine the Enemy,Redefine the Enemy,4Q05X6pWy0mZWnGaO2g85O,['Atari Teenage Riot'],13,1
5405,Spit,Spit,1afkQWD3zQlhOQLRRdZrOu,['Kittie'],1,1
5458,Another Black Day,Another Black Day,2nxL0QRf92F1STcWTVyi40,['Another Black Day'],1,1
5564,How To Survive A Remorsecapade (Outro),Remorsecapade,26oq7XGjp42fepNDmC4E01,['Woodhands'],10,1
5577,Voyage,Voyage of the Homeless Spies,1OKz6mKMcEskzBmdDLRNlO,['DoppelgängeR'],13,1
5615,20th Century Blues,20th Century Blues,12kgHzaDNKnKXavwF37AXC,['Robin Trower'],1,1
5632,Maybe I'll Catch Fire,Maybe I'll Catch Fire,1geOrMhJFz0gonGQ8A5e8m,['Alkaline Trio'],6,1
5671,Happily Ever After,Happily Ever After,4QkkCZGVHHMetLiUU7c2mr,['Mount Sims'],1,1
5712,Plaques,Plaques,4L2y6Wgh6kQp7VBl2uAqZ2,"[""Gabe 'Nandez""]",14,1
5738,Take A Look Inside,Take A Look Inside,5zOCZ2sGUJ1yApgZ1no7WO,['Folk Implosion'],13,1
